body,brand,cit,color,gear,price,usage,year
,سمند LX EF7 بنزینی,کرج، شهر جدید اندیشه,,,,,۲۰۱۲ - ۱۳۹۱
بدون رنگ,سمند LX ساده,کرج، مارلیک,سفید,دنده‌ای,۴۹٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,سمند LX ساده,کرج، گوهردشت,سفید,دنده‌ای,هستم,سنسور عقب و جلو ، صندلی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,کرج، جهانشهر,مشکی,دنده‌ای,۲۰۰٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX EF7 گازسوز,کرج، مهرشهر,زرد,دنده‌ای,۸۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۷ - ۱۳۹۶
دنده‌ای,سمند LX ساده,کرج، مشکین دشت,بدون رنگ,۶۳٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۱۸۶,۲۰۱۳ - ۱۳۹۲
دنده‌ای,سمند LX EF7 گازسوز,کرج، مهرشهر,بدون رنگ,۷۵٫۰۰۰٫۰۰۰ تومان,۲۶۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
دو لکه رنگ,سمند LX ساده,کرج، فردیس,خاکستری,دنده‌ای,۶۲٫۰۰۰٫۰۰۰ تومان,۸۴٫۰۰۰,۲۰۱۴ - ۱۳۹۳
بدون رنگ,سمند LX EF7 بنزینی,تهران، سرسبز,نقدی و قسطی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,تهران، پیروزی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
۱۴۴٫۰۰۰,سمند LX EF7 بنزینی,تهران، حکیمیه,۵۸٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۱ - ۱۳۹۰
۰,فروشی,تهران، صادقیه,توافقی,,,,سمند LX ساده
دنده‌ای,سمند LX ساده,تهران، صادقیه,بدون رنگ,۸۱٫۵۰۰٫۰۰۰ تومان,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX ساده,کرج، مهرشهر,چند لکه رنگ,۲۱۲٫۰۰۰,,,۲۰۰۸ - ۱۳۸۷
توافقی,سمند LX ساده,تهران، سوهانک,تک برگی,۱۰۹٫۰۰۰,,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,سمند LX ساده,تهران، آهنگ,آبی,دنده‌ای,۷۸٫۰۰۰٫۰۰۰ تومان,۳۲٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,سمند LX EF7 بنزینی,تهران، نارمک,نقدی و قسطی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
نقدی,فروشی,تهران، سهروردی شمالی,سفید,بدون رنگ,دنده‌ای,۰,سمند LX EF7 گازسوز
