body,brand,cit,color,gear,price,usage,year
چند لکه رنگ,پژو پارس ساده,اهواز، زیتون کارمندی,سفید,دنده‌ای,۶۹٫۰۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,۲۰۱۵ - ۱۳۹۴
۳۵۰٫۰۰۰,پژو پارس ساده,اهواز، باهنر,۴۵٫۰۰۰٫۰۰۰ تومان,,,,۲۰۰۷ - ۱۳۸۶
,پژو پارس ساده,اهواز، پادادشهر,۴۲٫۰۰۰,,,,۲۰۱۸ - ۱۳۹۷
دنده‌ای,پژو پارس ساده,اهواز، باهنر,مشکی,۳۷٫۵۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,,۲۰۰۳ - ۱۳۸۲
۴۶٫۲۰۰٫۰۰۰ تومان,پژو پارس ساده,تبریز,دنده‌ای,۲۷۰٫۰۰۰,,,۲۰۰۶ - ۱۳۸۵
یک لکه رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۵۸٫۵۰۰٫۰۰۰ تومان,۱۰,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۶۵٫۰۰۰٫۰۰۰ تومان,۱۴۰,۲۰۰۹ - ۱۳۸۸
چند لکه رنگ,پژو پارس ساده,تبریز,زیتونی,اتوماتیک,۸۲٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، رادار ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
,پژو پارس ساده,اهواز، شریعتی جنوبی,,,,,۲۰۱۱ - ۱۳۹۰
دنده‌ای,پژو پارس ساده,تبریز,بدون رنگ,۸۶٫۰۰۰٫۰۰۰ تومان,۶۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پژو پارس ساده,اهواز، کوت عبدالله,سفید صدفی,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,۰,۲۰۰۲ - ۱۳۸۱
دو لکه رنگ,پژو پارس ساده,اهواز، زیتون کارگری,مشکی,دنده‌ای,هستم,۱۲۳٫۴۵۶,۲۰۰۵ - ۱۳۸۴
دو لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۲۲۲٫۰۰۰,,۲۰۰۶ - ۱۳۸۵
دو لکه رنگ,پژو پارس ساده,اهواز، کیانپارس,نقره‌ای,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
۶۲٫۵۰۰٫۰۰۰ تومان,پژو پارس ساده,اهواز، شریعتی جنوبی,دو برگی,۲۲۷٫۳۲۲,,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,پژو پارس ساده,اهواز، شریعتی جنوبی,سفید,دنده‌ای,دی لایت,۲٫۰۰۰,۲۰۱۹ - ۱۳۹۸
,پژو پارس ساده,اهواز، کوی فرهنگیان,,,,,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,اهواز، بهارستان,نقره‌ای,دنده‌ای,۴۰٫۰۰۰٫۰۰۰ تومان,کولر دوال,۲۰۰۴ - ۱۳۸۳
بدون رنگ,پژو پارس ساده,اهواز، گلستان,نقدی,اتوماتیک,توافقی,ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو پارس ساده,کرمانشاه,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو پارس ساده,کرمانشاه,نقره‌ای,دنده‌ای,۴۳٫۰۰۰٫۰۰۰ تومان,۲۰۹,۲۰۰۶ - ۱۳۸۵
۱,پژو پارس ساده,اهواز، پادادشهر,۶۸٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۳ - ۱۳۹۲
دو لکه رنگ,پژو پارس ساده,کرمانشاه,نقره‌ای,دنده‌ای,۴۰٫۰۰۰٫۰۰۰ تومان,ترمز دستی برقی,۲۰۰۵ - ۱۳۸۴
چند لکه رنگ,پژو پارس ساده,کرمانشاه,نقرآبی,دنده‌ای,۳۱٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پژو پارس ساده,کرمانشاه,نقره‌ای,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۱۵۵٫۰۰۰,۲۰۰۹ - ۱۳۸۸
